Text,Number of Tokens,Rating out of 3,Rating,Gan's Rating,Yimin's Rating
"Q: When Nixon visited Moscow, he and Khrushchev had a race around the Kremlin. Nixon came the first. How should our media report on that? A: As follows: In the international running competition the General Secretary of the Communist Party took the honorable second place, while President Nixon came in next to last.",66,3,5,5,5
"Q: Is it true that conditions in our labor camps are excellent? A: In principle, yes. Five years ago one of our listeners was not convinced of this, so he was sent to investigate. He seems to have liked it so much that he hasn't returned yet.",56,3,5,4,5
"Q: Is it true that due to the achievements of Soviet technology, we will soon be able to order food over the phone? A: Yes, our sources tell us it is true. The same sources told us the ordered food would be delivered via TV.",52,3,5,5,5
"Q: What is the difference between Russian and English fairy tales? A: The English fairy tale starts with ""Once upon a time...."", and ours with ""It will be soon...""",37,3,5,4,5
"Q: Will the police still exist when communism is built? A: Of course, not. By that time, all citizens will have learned how to arrest themselves.",33,3,5,4,5
"Q: Why do policemen always walk the streets in teams of three? A: The partners in the police team are always chosen in such a way that one of them knows how to read, the other how to write, and the third one, naturally, has to keep watch over those two intellectuals.",60,2,4,5,2
Q: What will be the sentence in the case of citizens Arutyunyan and Akopyan whose trial is expected to be completed next week? A: Nobody can tell. The text of the sentence was stolen yesterday from the District Party Committee.,50,2,3,3,3
"Q: Why the man who shot at a government limousine on the Red Square, missed the target? A: Because citizens who happened to be next to him tried to wrest the gun from him and shouted, ""Let me shoot!""",48,2,3,5,1
"Q: Why Solzhenitsyn, Brodsky, Bukovsky, and other dissidents have been exiled from the country? A: Don't you know that the best products are always selected for export?",44,2,4,5,3
"Q: Is it true that the poet Vladimir Mayakovsky committed suicide? A: Yes, it is true, and even the record of his very last words is preserved: ""Don't shoot, comrades.""",42,2,3,3,2
"Q: When the final phase of socialism, namely communism, is built, will there still be thefts and pilfering? A: No, because everything will be already pilfered during socialism.",41,2,3,3,3
"Q: Why the symbol of the Republicans in the US is an elephant, but that of the Democrats is an ass? A: Because no ass can symbolize two political parties at the same time.",40,2,4,4,3
"Q: Is it true that American cars are the fastest in the world? A: Yes, it's true, but on the other hand, our Soviet watches are the fastest in the world.",39,2,4,3,4
"Q: Moscow radio tells me every day about the cornucopia of food in our country, while my fridge is empty. What should I do? A: Plug your fridge into your radio.",39,2,3,3,3
"Q: What if socialism were built in Greenland? A: First snow would become available only through ration cards, and later snow would be distributed only to the KGB officers and their families.",38,2,3,4,2
"Q: Is it true that the Berlin Wall was built to separate the West from the East? A: No, it's not true. It was built to separate East from West.",37,2,3,3,2
"Q: Is it true that in the Soviet Union people do not need stereophonic equipment? A: In principle, yes. One hears exactly the same thing from all sides.",36,2,4,3,4
"Q: Will there be a third world war? A: No, but the struggle for peace will reach such a degree that there will be no stone left intact on the earth.",36,2,4,2,5
"Q: What is the difference between the capitalist advertising and the communist propaganda? A: We don't know about the difference, but one can't get away from either of them.",36,2,3,1,4
Q: What should we do if the Western borders of the USSR were opened? A: Rush to Siberia at once in order not to be crushed in the stampede.,35,2,4,5,3
"Q: What is the duration of the workday in a socialist country? A: Of course, it's an eight-hour workday: from eight am to eight pm.",35,2,3,4,2
"Q: Is it possible to wrap an elephant in a newspaper? A: Yes, if this is the issue that features a speech by Khrushchev.",33,2,4,3,5
Q: Why do we have all those shortages in meat supply? A: We are approaching communism at such a high pace that the cattle lags behind.,31,2,4,5,2
"Q: Is it possible for a man to give birth? A: There has not been such a case on record, but experiments continue in many countries.",31,2,3,3,2
"Q: Which tea is better, Chinese or Soviet-grown? A: Don't mix up in the confrontation between the superpowers. Drink coffee.",30,2,3,2,4
"Q: Is it possible to build socialism in Switzerland? A: It's possible, but why? Did Switzerland really do something wrong to you?",29,2,3,3,3
"Q: Is it possible to build socialism in one stand-alone country? A: It's possible, but better to live in another country.",28,2,4,4,4
Q: Why is our government not in a hurry to land our men on the moon? A: What if they refuse to return?,27,2,4,5,2
"Q: Will everybody learn swimming when communism is built? A: Please, please... Don't compare communism to the World Flood.",26,2,3,3,2
"Q: Is there in the USSR an open opposition? A: Even if it were, it would long have been none.",25,2,3,1,5
Q: What is the longest joke? A: The speech made by Khrushchev at the Party congress.,24,2,4,2,5
Q: What is a Soviet musical duet? A: It's a musical quartet after a trip abroad.,23,2,4,5,2
Q: Why is there no flour in the market? A: Because they began adding it to the bread.,22,2,3,3,3
Q: Is it true that you always lie? A: We always lie only in the sheer truth.,21,2,3,3,3
Q: What is it that starts with an R and never ends? A: Reorganization.,19,2,4,3,5
Q: What is the most permanent feature of our socialist economy? A: Temporary shortages.,18,2,4,3,4
Q: What is a one-word joke? A: Communism,13,2,4,2,5
Q: We are told that the communism is already seen at the horizon. What then is a horizon? A: Horizon is an imaginary line which moves away each time you approach it.,37,1,2,3,1
"Q: What is communism? A: It's when everything will be available in stores. In other words, like it was under the Czar Nikolai the Second.",34,1,2,3,1
"Q: What methods do our enemies use in their subversive work against the socialist state? A: Such questions we discuss in our program ""Useful Advice.""",33,1,2,3,1
Q: Why did butter disappear from the stores' shelves? A: It all has melted under the sun of the Soviet Constitution.,26,1,2,3,1
Q: Is there anti-Semitism in the USSR? A: We must answer in the positive: No!,21,1,2,1,3
"Q: What are the four nations of the uk? A: Scotland, England, Wales, and Northern Ireland.",23,0,0,0,0
Q: What were the causes of the russian revolution in 1917? A: World War I.,21,0,0,0,0
Q: What year did lakers win their first championship? A: 1948 NBL Finals.,21,0,0,0,0
Q: What kind of currency do they use in thailand? A: Thai baht.,19,0,0,0,0
Q: What kind of economy was the soviet union? A: Communist state.,18,0,0,0,0
Q: Which jane austen books are movies? A: Pride and Prejudice.,18,0,0,0,0
Q: Who were the major trade partners of russia? A: Uzbekistan.,17,0,0,0,0
Q: where is lanzarote in a world map? A: Canary Islands.,17,0,0,0,0
Q: what did einstein do? A: Theoretical Physicist.,16,0,0,0,0
Q: What continent does the bahamas belong to? A: North America.,16,0,0,0,0
Q: What do people from spain speak? A: Spanish Language.,15,0,0,0,0
Q: What nation did hitler lead? A: Germany.,13,0,0,0,0
Q: Where did vietnam originate? A: Asia.,12,0,0,0,0
